"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PNMAL2",192.814596034691,-3.71752808983242,0.234583903789979,2.17811021063859e-57,4.6683436144617e-53
"CROCC",1884.72140291333,-4.20435550275921,0.266002166541491,5.25794606660555e-57,5.63467790227784e-53
"SYNE3",3444.75152104461,-2.88647042645347,0.182958257058415,8.06290704740429e-57,5.76040955823387e-53
"CBX7",1465.27883369474,-2.6102857613533,0.16964662460861,3.07529311383964e-54,1.64781893272313e-50
"FBXW4",672.543868915221,-2.18940622132434,0.142778766536259,1.10801874769314e-53,4.74963316386143e-50
"PAGR1",1373.66886204678,-2.84090426572683,0.185851151070124,1.67374142100407e-53,5.97888331273005e-50
"ZBTB47",1737.33931793501,-2.88976617753775,0.192106299337182,6.6867220252163e-52,2.04737875952087e-48
"SURF6",674.000932124001,-2.55599188468731,0.17148486667272,3.11494558830665e-51,8.34532859927205e-48
"ZNF444",182.574199959964,-3.49896291286776,0.234547965513246,3.84050822953818e-51,9.14595698707686e-48
"GIGYF1",2746.56297657419,-3.20649692871838,0.215210892339037,5.81042331980268e-51,1.24534803013331e-47
"GJC2",104.631973827725,-3.96514226139809,0.2672333679443,1.26908879021985e-50,2.47276182188928e-47
"RP4-535B20.1:ENSG00000231485",47.0007018701074,-6.77755032379004,0.459543020269403,6.60475121307879e-50,1.08892025192244e-46
"STRF6",51302.6637363832,-4.10798182940117,0.278606550194043,6.12352866962093e-50,1.08892025192244e-46
"ZNF219",336.03868296196,-3.31124474379736,0.225516932901879,1.70820612355618e-49,2.6151415604414e-46
"SCARNA17",2271.08668993495,-4.0359401489225,0.275140446949683,1.85311923932436e-49,2.64786031042927e-46
"C19orf68",70.2164521552257,-4.69303715799601,0.321192252284569,2.86673541177811e-49,3.84017125504002e-46
"HBB",83375.7983931603,7.51912011340974,0.522426549978206,4.49813735979016e-49,5.67109282543427e-46
"PLEKHA4",1804.06080620555,-3.27943031485652,0.224662148875182,5.01819876433093e-49,5.97528078421693e-46
"EFNB1",1291.46615031697,-2.71501395505226,0.186080913220413,5.9398722138906e-49,6.70048848212195e-46
"BC140723",300.097378436866,-4.29006252663279,0.294131447348415,6.40601531809014e-49,6.8650063156313e-46
"PELP1",698.135656068601,-2.680071194696,0.185223604414529,2.48856845657914e-48,2.5398803680886e-45
"ZBTB4",2926.68006785906,-1.91977543763246,0.133063091482684,8.43905899436592e-48,8.22156142846567e-45
"NOL3",430.590909516819,-2.50559712673979,0.174363872351858,1.50676131249648e-47,1.40410500916248e-44
"RXRA",3155.08369020924,-2.57355856188735,0.179470565371714,2.34397002977806e-47,2.09326290200971e-44
"S100A9",3191.83367406258,4.44691035657728,0.314196472343166,2.80784348379536e-47,2.40722037552744e-44
"SPRYD3",1176.74848420479,-1.91468501553072,0.133924656161761,5.38387975949436e-47,4.43818057250933e-44
"cytochrome_b",28944.5869519449,-4.01237895612549,0.281912095880228,1.0428581156245e-46,7.98270642577854e-44
"SCRIB",1134.63387010333,-3.48262579055984,0.244552503209441,1.0241859736685e-46,7.98270642577854e-44
"SCAF1",1157.24752897852,-3.70552422615273,0.260619041981718,1.2253029593051e-46,9.05583390578833e-44
"TRIM56",1321.81724418907,-2.77818353704234,0.195535052965201,1.46047350218476e-46,1.04341095241086e-43
