"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensamble","symbol","genename","entrezid"
"ENSG00000231485",47.0007018701074,-6.77755032379004,0.459543020269403,6.60475121307879e-50,1.08892025192244e-46,"RP4-535B20.1:ENSG00000231485",NA,NA,NA
"ENSG00000262879",200.359387698118,-1.83868533545109,0.139381752346833,1.42424912355845e-40,3.54952691456141e-38,"RP11-156P1.3:ENSG00000262879",NA,NA,NA
"ENSG00000232098",107.298942950822,-2.26789811809151,0.17664496098851,1.61760076209315e-38,2.91344849865063e-36,"CTD-2619J13.14:ENSG00000232098",NA,NA,NA
"ENSG00000225331",53.1752333352646,-3.22349915631291,0.252994685251068,4.74114059046171e-38,8.19490857059402e-36,"AP001055.6:ENSG00000225331",NA,NA,NA
"ENSG00000257139",43.1787650176184,-4.34385391982818,0.343717642841995,2.02843090777353e-37,3.06164504551479e-35,"RP11-320P7.2:ENSG00000257139",NA,NA,NA
"ENSG00000267183",34.2559652731973,-3.43771087987304,0.286312200848904,3.66891982479373e-34,3.49493149354684e-32,"AC010525.6:ENSG00000267183",NA,NA,NA
"ENSG00000260054",249.962525837709,-1.8746775136793,0.158797248059867,8.06367546098324e-33,5.90834183955426e-31,"RP11-611L7.1:ENSG00000260054",NA,NA,NA
"ENSG00000260274",82.2158628993888,-3.61846317042737,0.311897423006891,5.35426396912898e-32,3.49871767226651e-30,"RP11-817O13.8:ENSG00000260274",NA,NA,NA
"ENSG00000188070",68.5595269724595,-8.38287445240839,0.726647406651965,4.04783417947373e-31,2.2302629811995e-29,"C11orf95:ENSG00000188070","ZFTA","zinc finger translocation associated","65998"
"ENSG00000230415",16.2802748535939,-3.04767838691797,0.26751706778853,5.09383899234112e-31,2.7709708406814e-29,"RP5-902P8.10:ENSG00000230415",NA,NA,NA
"ENSG00000260807",152.320590104101,-3.22650502828732,0.290162683617129,1.08068428765261e-29,4.83555455892658e-28,"RP11-161M6.2:ENSG00000260807","CEROX1","cytoplasmic endogenous regulator of oxidative phosphorylation 1","115804232"
"ENSG00000267018",78.433852584696,-2.66123402297338,0.238350143241816,1.10416756432036e-29,4.93033820959966e-28,"AC010525.7:ENSG00000267018",NA,NA,NA
"ENSG00000205959",42.8387260860758,-2.25813755452003,0.202319189956179,1.19579823545636e-29,5.30828472907842e-28,"RP11-689P11.2:ENSG00000205959",NA,NA,NA
"ENSG00000238290",10.8702822557289,-2.88654031313348,0.26201495391176,2.20920787717014e-29,9.28430439831131e-28,"RP11-431K24.1:ENSG00000238290",NA,NA,NA
"ENSG00000273230",66.5211804542884,-2.5197437755202,0.229028627307528,4.50543667681443e-29,1.79155889228504e-27,"RP11-1246C19.1:ENSG00000273230",NA,NA,NA
"ENSG00000234432",41.3857455347055,-2.88372447002335,0.263017377462188,7.50184941885817e-29,2.88666317045578e-27,"RP11-1275H24.1:ENSG00000234432","LINC02983","long intergenic non-protein coding RNA 2983","100129484"
"ENSG00000224577",27.1021977232808,-3.63352959967514,0.337771304329798,5.48431788994688e-28,1.83448407991323e-26,"LINC01117:ENSG00000224577","LINC01117","long intergenic non-protein coding RNA 1117","102724224"
"ENSG00000229180",534.765956407423,-2.15770824184533,0.202617151052071,2.39039430175196e-27,7.31904586706424e-26,"GS1-124K5.11:ENSG00000229180",NA,NA,NA
"ENSG00000272057",7.37462347215981,-4.82652149015848,0.460067013074796,6.71929476976083e-27,1.95141795122336e-25,"CTB-40H15.4:ENSG00000272057",NA,NA,NA
"ENSG00000196421",55.6739061382149,-2.60363514605231,0.248713340828246,1.89725506810505e-26,5.22671823582206e-25,"LINC00176:ENSG00000196421","C20orf204","chromosome 20 open reading frame 204","284739"
"ENSG00000273248",6.75355260743863,-4.23089353921553,0.4072681461998,2.94691715579116e-26,7.85588002488457e-25,"RP11-399K21.13:ENSG00000273248",NA,NA,NA
"ENSG00000214870",32.197871453037,-2.50869422770553,0.244283558831673,2.11889882749466e-25,5.00158134027457e-24,"AC004540.5:ENSG00000214870","LINC02981","long intergenic non-protein coding RNA 2981","441204"
"ENSG00000251301",65.4954797276514,3.34098961503882,0.324679487739115,3.5464940144491e-25,8.1557946579064e-24,"RP11-81H14.2:ENSG00000251301",NA,NA,NA
"ENSG00000273209",12.5309539702426,-3.18380572531729,0.314061046719545,4.46587412045608e-25,1.01287915369032e-23,"RP11-107N15.1:ENSG00000273209",NA,NA,NA
"ENSG00000245812",85.6046605530272,-2.38932123361933,0.237509559951467,1.49552320050494e-24,3.15487684610456e-23,"RP11-175K6.1:ENSG00000245812","LINC02202","long intergenic non-protein coding RNA 2202","101927740"
"ENSG00000273218",21.4435603166874,-4.05960585593438,0.409191018856197,2.19888788729147e-24,4.5535037766491e-23,"LLNLR-246C6.1:ENSG00000273218",NA,NA,NA
"ENSG00000233895",71.5350422993617,-2.11434577003863,0.211438277119394,2.43011232954194e-24,5.01778396522856e-23,"RP1-122P22.2:ENSG00000233895",NA,NA,NA
"ENSG00000262877",90.8210558442702,-2.33774956401394,0.234612439623908,4.63433754971536e-24,9.18850663302955e-23,"RP11-1055B8.4:ENSG00000262877",NA,NA,NA
"ENSG00000188825",105.545645863212,-1.83316389869494,0.184423287219478,4.7031777115943e-24,9.31637780892797e-23,"LINC00910:ENSG00000188825","LINC00910","long intergenic non-protein coding RNA 910","100130581"
"ENSG00000225285",11.178190625772,-3.37554206229903,0.343610461442008,9.15011827045443e-24,1.73860358945612e-22,"RP4-758J18.10:ENSG00000225285","LINC01770","long intergenic non-protein coding RNA 1770","102724312"
