"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid"
"HBB",83375.7983931603,7.51912011340974,0.522426549978206,4.49813735979016e-49,5.67109282543427e-46,"3043"
"S100A9",3191.83367406258,4.44691035657728,0.314196472343166,2.80784348379536e-47,2.40722037552744e-44,"6280"
"ANKRD36BP2",825.6837509613,6.07186576437929,0.437411155782953,4.16948334131384e-45,2.48234823484388e-42,"645784"
"AQP9",564.923903291732,5.56463703518709,0.409684109902978,1.10014958181777e-43,5.35897863343189e-41,"366"
"ABCC4",712.436607047486,1.66776715139168,0.123716801535491,4.47663902683372e-42,1.52298102003376e-39,"10257"
"AK128525",11926.9261314815,8.20669370808547,0.629229968263903,3.62759791815989e-41,1.07986536361001e-38,NA
"BRCA2",733.672889314153,2.42482534705693,0.183823974249246,1.53215324602342e-40,3.77455638184136e-38,"675"
"SRGN",4849.67128715017,3.20867848223099,0.248350689183525,1.63318924009542e-39,3.46575692900645e-37,"5552"
"Ig_kappa",98407.073673048,7.89883411992223,0.623036015324758,4.80751650265588e-39,9.62985992536668e-37,NA
"DKFZp667J0810",22887.4639662209,7.8601076575532,0.625308015259804,1.81260650986435e-38,3.23746627716022e-36,NA
"ADAMDEC1",455.657343659501,6.72729031005679,0.533917992652744,1.18152686390778e-37,1.91845949046481e-35,"27299"
"IGJ",8283.87227716912,6.95258437346596,0.56122598223352,2.71139127520135e-37,4.00781028975107e-35,NA
"SLC39A8",1731.35973980845,2.97832925840119,0.238213749017513,3.9694967764544e-37,5.74852867633427e-35,"64116"
"IGHG1",135387.849574359,7.50129801440822,0.619833925123684,8.04918002638643e-36,9.42721724073991e-34,"3500"
"BCL2A1",205.319146168046,5.31202947396119,0.431904699156705,1.80393458755102e-35,2.05658138377559e-33,"597"
"HBA1",12654.9163976106,6.48439540135748,0.538207639314529,2.09084463098034e-35,2.35858278820009e-33,"3039"
"SLAMF7",975.595118706874,5.17204520527469,0.43055624240969,9.49333352272094e-35,1.00231831227822e-32,"57823"
"FCRL5",1171.59378748377,7.52462519696378,0.633638196043336,2.52219658495753e-34,2.45719270024521e-32,"83416"
"FPR1",890.56557337855,3.58709607542504,0.299907539845955,3.2386185944109e-34,3.09880858633968e-32,"2357"
"HBA2",21519.8585081364,6.31310295756851,0.534269292004637,4.02569452869244e-34,3.80100047724515e-32,"3040"
"C15orf48",218.142820896425,5.97021512877436,0.500925101628456,8.4305460669189e-34,7.3154612895657e-32,NA
"GPR183",899.221182754383,2.79248134477008,0.235708146921587,1.31161007323623e-33,1.10676136612882e-31,"1880"
