"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","72/1321","86/2144",0.837209302325581,1.35880147175325,4.30173182948309,4.8388157567298e-06,0.000862161419213124,0.000862161419213124,"1288/84665/5339/3691/482/51332/91977/4629/10398/7169/6640/4627/79784/4628/1298/7060/56776/1282/83660/57644/2275/375790/4000/200539/1277/3679/3339/1756/84823/480/4608/131873/477/85301/1292/50509/64236/2192/57731/25777/1299/752/1291/6442/3675/2318/9260/7168/1284/64423/161176/4621/2199/22801/3728/6711/7791/271/4636/84033/84467/2273/1302/1605/23500/2006/8736/22989/1297/25802/633/1289",72
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","34/1321","36/2144",0.944444444444444,1.53284548742535,4.08394435445427,6.27026486700454e-06,0.000862161419213124,0.000862161419213124,"89801/7249/2645/5575/5834/8660/5296/5507/2872/25759/5577/6517/57521/808/10580/3991/5566/572/2998/163688/2997/5605/6720/3265/3667/5792/5260/2194/5255/3636/9322/208/5595/32",34
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","34/1321","37/2144",0.918918918918919,1.49141723100845,3.81928046415209,3.15840024316456e-05,0.00279600321509023,0.00279600321509023,"112/1346/7249/51548/111/109/6196/6597/5346/63976/123096/114/90993/4881/2260/57521/152831/84701/3991/5566/6601/84335/5606/3265/8110/6300/196883/11343/5600/57104/115/656/374291/9658",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","54/1321","64/2144",0.84375,1.36941710825132,3.80047518014975,5.17444527244413e-05,0.00279600321509023,0.00279600321509023,"150/112/111/7433/109/3061/153/8660/2784/6755/10411/10267/5020/5296/7434/2767/114/152/1734/10268/2775/4881/6794/2783/268/148/2788/3480/5566/151/554/3952/5331/4352/552/4986/1815/3667/1395/147/6751/7349/146/196883/6714/4157/2057/3481/886/115/9370/269/7067/5745",54
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","39/1321","44/2144",0.886363636363636,1.43857958846604,3.72329702484225,6.10037065110596e-05,0.00279600321509023,0.00279600321509023,"150/112/482/4209/111/109/10398/153/8660/4772/491/2767/114/492/152/480/90993/4881/477/148/778/808/134/572/151/5331/6722/163688/5605/3667/147/146/4776/196883/115/208/5595/4846/5138",39
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","39/1321","44/2144",0.886363636363636,1.43857958846604,3.72329702484225,6.10037065110596e-05,0.00279600321509023,0.00279600321509023,"112/9254/784/482/111/109/782/153/7169/28227/10411/5518/59283/491/114/492/480/90993/477/148/778/808/5566/6330/5331/7168/5502/163688/147/146/6300/196883/6548/5600/115/6324/208/5595/815",39
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","58/1321","70/2144",0.828571428571429,1.34478209148913,3.71494099787838,8.00604056911522e-05,0.00293243632019635,0.00293243632019635,"7410/116444/112/5727/5348/482/111/109/2550/2890/10398/153/5143/84152/64399/5141/6755/10411/10021/2893/5020/5296/3362/4772/491/7434/3725/114/492/480/90993/4881/3351/268/477/778/2735/64411/27198/808/3991/134/5566/572/163688/2905/5605/1395/6751/117/196883/6548/115/2904/208/5595/5881/815",58
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","19/1321","19/2144",1,1.62301286903861,3.45507061227885,9.59706432064261e-05,0.00293243632019635,0.00293243632019635,"2648/3955/196403/7090/9612/9253/388585/4851/4854/5986/1855/26508/7089/1840/1487/3714/113878/4855/28514",19
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","19/1321","19/2144",1,1.62301286903861,3.45507061227885,9.59706432064261e-05,0.00293243632019635,0.00293243632019635,"5727/2121/64399/51684/1454/8643/2736/23295/91653/2735/374654/1453/5566/23288/2619/132884/1455/6608/1954",19
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","27/1321","29/2144",0.931034482758621,1.51108094703594,3.50991080916611,0.000129639448487998,0.00356508483341996,0.00356508483341996,"100137049/112/111/109/1839/1958/2767/3725/114/778/808/5566/5331/5609/163688/5605/5606/3265/6300/196883/6714/1956/5600/115/5598/5595/815",27
