"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","external side of plasma membrane","113/1530","157/4550",0.719745222929936,2.14041880021648,10.3498440300151,1.8626431692707e-23,7.63683699400985e-21,7.63683699400985e-21,"FCRL2/CD19/CLEC4E/MS4A1/CD27/FCGR3A/CSF2RA/CD5/SELL/PTPRC/TFRC/CD226/FCN1/TMEM123/CEACAM21/SLAMF1/IL2RG/CTLA4/FCGR1A/CD69/CD8A/CLEC2D/CD3E/CD244/IL2RA/CXCR3/P2RX1/CXCR4/CD2/KLRD1/ITGA2/CD163/FCRL3/BTN1A1/BTNL8/CD83/FCGR2B/IL12RB1/CTSK/TNFRSF13C/CD200R1/CLEC4A/CD3G/ABCC4/FCGR3B/FCER1G/CXCR2/KLRK1/LY75/CD274/CD1B/CLEC4C/FCRL5/SLC38A1/IL21R/SLAMF7/PDCD1LG2/CXCL10/CCR5/CXCR1/IL2RB/CXCL9/ATP6AP2/B2M/SLC7A5/CLEC12B/CTSB/CD3D/IL5RA/LY9/CD86/CXCR6/CD84/TNFRSF9/CLEC6A/SLAMF6/CCR1/TNF/CCR7/CD40LG/HLA-DRB1/FCGR2A/CD1A/SELE/CCR6/CCR4/CD79A/FCGR2C/FCRL1/CRLF2/CCR3/CLEC17A/ULBP1/FCRLA/CD80/CD22/CLEC4D/CCR2/CD79B/FCRL4/PRND/ENTPD1/ALCAM/IL7R/IL23R/SDC1/ULBP2/TLR8/STAB2/CCRL2/FAS/BTN2A2/CD28",113
"GO:0098552","side of membrane","162/1530","259/4550",0.625482625482625,1.86009538950715,10.1441919120832,1.06356668086347e-22,2.18031169577012e-20,2.18031169577012e-20,"FCRL2/CD19/CLEC4E/MS4A1/CD27/FCGR3A/CSF2RA/RGS18/BIRC2/CHUK/CD5/SELL/PTPRC/TFRC/AKAP5/DPEP1/CD226/FCN1/TMEM123/CEACAM21/SLAMF1/RGS8/IL2RG/CTLA4/HMGCR/FCGR1A/CD69/PRSS21/CD8A/CLEC2D/CD3E/CD244/IL2RA/CXCR3/P2RX1/CXCR4/TGM3/CD2/KLRD1/ITGA2/CD163/FCRL3/RGS2/NLRP10/HLA-DRA/PTPN7/BTN1A1/BTNL8/CD83/ALG5/CD52/ALG6/CDH1/FCGR2B/IL12RB1/CTSK/LYPD6B/LILRB4/TNFRSF13C/CD200R1/GNG10/CLEC4A/CNR2/CFB/CD3G/ABCC4/FCGR3B/FCER1G/CXCR2/KLRK1/LY75/CD274/CD1B/CLEC4C/FCRL5/SLC38A1/IL21R/GBP5/UGT8/SLAMF7/PDCD1LG2/CXCL10/CCR5/CXCR1/IL2RB/CXCL9/GNG4/ATP6AP2/B2M/SLC7A5/CLEC12B/CTSB/CD3D/IL5RA/LY9/CD86/HLA-DRB4/CXCR6/CD84/TNFRSF9/CLEC6A/SLAMF6/MMP25/CCR1/BST1/TNF/LYPD5/CCR7/LYN/SMPDL3B/CD40LG/HLA-DQB1/HLA-DRB1/RGS1/FCGR2A/CD1A/ITLN1/SELE/CCR6/CCR4/CD48/CD79A/FCGR2C/FCRL1/CRLF2/CCR3/CLEC17A/ULBP1/DSG1/FCRLA/CD80/CD22/VNN2/CLEC4D/CCR2/SLC4A1/CD79B/FCRL4/PRND/HLA-DQB2/ENTPD1/JAK3/ALCAM/IL7R/RGS13/IL23R/JAK2/SDC1/LYPD3/ULBP2/TLR8/STAB2/CCRL2/HLA-DPB1/LY6D/CEACAM8/HLA-DPA1/TNFRSF10C/FAS/BTN2A2/CD28/HLA-DQA1",162
"GO:0030141","secretory granule","153/1530","252/4550",0.607142857142857,1.80555555555556,9.36402952333365,1.28130685352858e-19,1.75111936648906e-17,1.75111936648906e-17,"S100P/TBC1D10C/TCN1/ATP6V1A/LYZ/DSP/SELL/IL4I1/PTPRC/SYT9/ALOX5/C3AR1/DSC1/SPINK2/FCN1/HP/CMTM6/MMP9/CHI3L1/SRGN/QPCT/BIN2/GPR84/RETN/CCT2/FPR2/NPC2/P2RX1/MS4A3/MGAM/GLIPR1/LCN2/LILRA3/IQGAP2/PF4/COPB1/FCAR/CTSS/SCG2/SNX10/TNFAIP6/CLEC5A/DNAJC3/KLK1/CXCL1/KLK7/F13A1/FOLR3/COMMD3/KRT1/ABCC4/FCGR3B/LAIR1/FCER1G/DERA/CXCR2/PNP/CLEC12A/CYBB/TYROBP/CD53/CAMP/CR1/ADAM8/LRG1/ITGAL/CLEC4C/CXADR/GLB1/S100A9/CTSW/FPR1/CXCR1/SERPINA1/SLC2A3/GMFG/LY6G6F/ATP6AP2/TLR2/RAB27A/CTSZ/B2M/GGH/MMRN1/KLK11/CTSB/PPBP/GLA/S100A12/DOCK2/LRGUK/PCSK1/IL1B/PRDX4/MMP25/CEACAM3/DMXL2/BST1/ARG1/GCA/RNASE3/GAL/CMA1/PSMA5/FCGR2A/S100A8/LAMP2/RAB3B/SNCA/NRAS/RAB27B/CTSH/CD58/ABCA12/DEFA1/HPSE/CTSC/SIRPB1/PTAFR/CPA3/PTPRJ/HBB/RNASE2/MNDA/PGM2/CREG1/DSG1/HEXB/SLC27A2/CLEC4D/PLAC8/BRCA2/ATP8B4/MMP8/MOXD1/SPINK5/LAMP3/OLR1/SNAP25/PRSS3/AGA/SCG3/ABCA13/FLG2/SCG5/NCKAP1L/CD300A/CEACAM8/TXNDC5/RAP1B/SERPINE2/LTA4H/SLCO4C1",153
"GO:0070820","tertiary granule","53/1530","61/4550",0.868852459016393,2.58384228008143,8.86343898207548,5.85009248722816e-18,5.99634479940887e-16,5.99634479940887e-16,"TBC1D10C/TCN1/LYZ/DSP/DSC1/HP/MMP9/QPCT/GPR84/FPR2/MGAM/LILRA3/COPB1/FCAR/CTSS/TNFAIP6/CLEC5A/CXCL1/FOLR3/LAIR1/FCER1G/CLEC12A/CYBB/CD53/CAMP/CR1/ADAM8/LRG1/CLEC4C/FPR1/SLC2A3/ATP6AP2/B2M/GGH/PPBP/LAMP2/NRAS/CTSH/CD58/PTAFR/HBB/DSG1/CLEC4D/ATP8B4/MMP8/OLR1/SNAP25/PRSS3/FLG2/NCKAP1L/CD300A/CEACAM8/LTA4H",53
"GO:0009986","cell surface","191/1530","346/4550",0.552023121387283,1.64163738713212,8.83683141263991,8.06604293771511e-18,6.61415520892639e-16,6.61415520892639e-16,"FCRL2/LILRA5/CD19/CLEC4E/MS4A1/CD27/FCGR3A/ADAM28/ADTRP/HMMR/CSF2RA/CD5/SELL/IL18R1/PTPRC/TFRC/CD226/FCN1/DCSTAMP/TMEM123/CEACAM21/SLAMF1/IL18RAP/IL2RG/SORL1/CTLA4/KCNJ1/FCGR1A/CD69/TSPAN33/HLA-DMA/CD8A/CLEC2D/CD3E/CD244/TREML2/IL2RA/CXCR3/ITGB7/P2RX1/CXCR4/TREM1/CD2/KLRD1/IQGAP2/ITGA2/CD163/FCRL3/ITGA8/CD5L/CLEC1B/HLA-DRA/BTN1A1/SLC7A11/BTNL8/CLEC5A/CD83/TNFSF18/FCGR2B/IL12RB1/CTSK/KLRC1/LILRB4/TNFRSF13C/LIPG/CD200R1/HAVCR2/CLEC4A/CFB/CD3G/ABCC4/FCGR3B/FCER1G/CXCR2/IRAK4/FZD6/KLRK1/C1QB/TYROBP/LY75/ITGA4/CR1/ADAM8/ITGAL/CD274/CD1B/CLEC4C/FCRL5/SLC38A1/IL21R/KLRC3/CD6/SLAMF7/PDCD1LG2/CXCL10/CCR5/CXCR1/IL2RB/DCC/CD300E/SERPINB5/CXCL9/FAP/ATP6AP2/TLR2/CTSZ/B2M/TIGIT/SLC7A5/CLEC12B/CTSB/CLEC9A/CD3D/FZD3/TGFA/HAVCR1/IL5RA/LY9/CD86/CXCR6/CD84/TNFRSF9/CLEC6A/SLAMF6/CCR1/CEACAM3/TNF/VWDE/CCR7/CD40LG/CD38/HLA-DRB1/FCGR2A/CD1A/SELE/CCR6/KLRB1/CD200/SLAMF8/TSHR/CCR4/CD58/CNTNAP2/TNR/CD79A/FCGR2C/SIRPB1/FCRL1/KLRC2/CEACAM4/PTPRJ/CRLF2/CCR3/CLEC17A/ULBP1/GZMK/FCRLA/CD80/CD22/CLEC7A/CLEC4D/CCR2/LAYN/CD79B/F2R/IL12B/LBP/FCRL4/PRND/ENTPD1/FASLG/ALCAM/IL7R/LAMP3/IL23R/SDC1/ULBP2/TLR8/KRT10/STAB2/CCRL2/HCST/HLA-DPB1/LY6D/CEACAM8/HLA-DPA1/TNFRSF10C/FAS/BTN2A2/CD28/P2RY12",191
"GO:0099503","secretory vesicle","167/1530","310/4550",0.538709677419355,1.60204511912292,7.81496740193895,2.53980232474109e-14,1.73553158857308e-12,1.73553158857308e-12,"S100P/TBC1D10C/PSMA1/TCN1/ATP6V1A/LYZ/DSP/SELL/IL4I1/PTPRC/SYT9/ALOX5/C3AR1/DSC1/SPINK2/FCN1/HP/ATP2B1/CMTM6/MMP9/MCTP2/CHI3L1/SRGN/QPCT/BIN2/GPR84/RETN/CCT2/FPR2/NPC2/P2RX1/MS4A3/MGAM/GLIPR1/LCN2/LILRA3/IQGAP2/PF4/COPB1/FCAR/CTSS/SCG2/PSMA6/SNX10/TNFAIP6/CLEC5A/DNAJC3/KLK1/CXCL1/KLK7/PSMA4/F13A1/FOLR3/COMMD3/KRT1/ABCC4/FCGR3B/PPT1/LAIR1/FCER1G/DERA/CXCR2/PNP/CLEC12A/CYBB/TYROBP/CD53/CAMP/CR1/ADAM8/LRG1/ITGAL/SYNDIG1/CLEC4C/CXADR/GLB1/LAMP5/S100A9/CTSW/FPR1/CXCR1/SERPINA1/SLC2A3/GMFG/LY6G6F/ATP6AP2/TLR2/RAB27A/CTSZ/B2M/GGH/MMRN1/KLK11/CTSB/PPBP/MCTP1/ATM/GLA/S100A12/DOCK2/DGKI/LRGUK/PCSK1/IL1B/PRDX4/MMP25/CEACAM3/DMXL2/BST1/ARG1/GCA/RNASE3/GAL/CMA1/PSMA5/FCGR2A/S100A8/LAMP2/RAB3B/SNCA/NRAS/RAB27B/CTSH/CD58/ABCA12/DEFA1/HPSE/CTSC/SIRPB1/PTAFR/CPA3/PTPRJ/HBB/RNASE2/SYTL1/MNDA/PGM2/CREG1/DSG1/PSMA3/HEXB/SLC27A2/CLEC4D/PLAC8/BRCA2/ATP8B4/MMP8/MOXD1/SPINK5/TMEM163/LAMP3/OLR1/SNAP25/PRSS3/AGA/SCG3/ABCA13/FLG2/SCG5/NCKAP1L/CD300A/CEACAM8/TXNDC5/RAP1B/SERPINE2/LTA4H/SLCO4C1",167
"GO:0030667","secretory granule membrane","65/1530","92/4550",0.706521739130435,2.10109406081273,7.59361394445687,2.61764933705866e-13,1.53319461170579e-11,1.53319461170579e-11,"TBC1D10C/DSP/SELL/PTPRC/C3AR1/DSC1/CMTM6/GPR84/FPR2/P2RX1/MS4A3/MGAM/GLIPR1/LILRA3/IQGAP2/COPB1/FCAR/CLEC5A/ABCC4/FCGR3B/LAIR1/FCER1G/CXCR2/CLEC12A/CYBB/TYROBP/CD53/CR1/ADAM8/ITGAL/CLEC4C/FPR1/CXCR1/SLC2A3/LY6G6F/ATP6AP2/TLR2/MMP25/CEACAM3/BST1/FCGR2A/LAMP2/SNCA/NRAS/RAB27B/CD58/ABCA12/SIRPB1/PTAFR/PTPRJ/DSG1/SLC27A2/CLEC4D/ATP8B4/MOXD1/LAMP3/OLR1/SNAP25/SCG3/ABCA13/NCKAP1L/CD300A/CEACAM8/RAP1B/SLCO4C1",65
"GO:0042581","specific granule","46/1530","62/4550",0.741935483870968,2.20640944549863,6.80713497040969,5.77743019426359e-11,2.96093297456009e-09,2.96093297456009e-09,"TCN1/LYZ/C3AR1/HP/CMTM6/CHI3L1/QPCT/GPR84/RETN/FPR2/P2RX1/MS4A3/LCN2/LILRA3/FCAR/CLEC5A/CXCL1/FOLR3/LAIR1/CLEC12A/CYBB/CD53/CAMP/ADAM8/LRG1/ITGAL/SLC2A3/RAB27A/CTSZ/B2M/GGH/DOCK2/MMP25/CEACAM3/BST1/ARG1/HPSE/PTPRJ/SLC27A2/CLEC4D/ATP8B4/MMP8/OLR1/SNAP25/CEACAM8/SLCO4C1",46
"GO:0101002","ficolin-1-rich granule","45/1530","61/4550",0.737704918032787,2.19382835101254,6.68085760643248,1.30141262935578e-10,5.92865753373191e-09,5.92865753373191e-09,"TBC1D10C/DSP/ALOX5/DSC1/FCN1/MMP9/QPCT/BIN2/FPR2/MGAM/LILRA3/COPB1/FCAR/CTSS/TNFAIP6/COMMD3/KRT1/FCER1G/DERA/PNP/CR1/ADAM8/LRG1/CLEC4C/GLB1/FPR1/SERPINA1/SLC2A3/GMFG/ATP6AP2/CTSZ/CTSB/PRDX4/PSMA5/LAMP2/CTSH/CD58/HBB/MNDA/PGM2/DSG1/CLEC4D/NCKAP1L/CD300A/LTA4H",45
"GO:0000323","lytic vacuole","123/1530","233/4550",0.527896995708155,1.5698897584785,6.35591383284776,5.06124031720427e-10,1.88646230004887e-08,1.88646230004887e-08,"ATP10B/SIDT1/MLC1/PRF1/ATP6V1A/LYZ/CTBS/RAB39B/GZMA/IL4I1/TFRC/C3AR1/LUM/GZMB/CMTM6/AP1S3/GZMH/SORL1/SRGN/RETN/RNF13/HLA-DMA/CCT2/NPC2/CXCR4/GLIPR1/SLC31A2/ACAN/SLC46A3/CTSS/HLA-DRA/SLC7A11/RAB39A/LIPA/DNAJC3/MFSD1/CDH1/CTSK/PPT1/HLA-DOA/CXCR2/MFSD2A/TM4SF19/GPR155/DRAM2/ADAM8/CD1B/PLBD1/NSG1/GLB1/LAMP5/CTSW/FPR1/DRAM1/ATP6AP2/RAB27A/CTSZ/B2M/SLC7A5/GGH/CTSB/DNASE2B/GLA/ITM2C/EVA1A/IL1B/HLA-DRB4/NKG7/PRSS16/ARG1/GCA/RNASE3/LYN/HLA-DQB1/HLA-DRB1/AP1S2/LAMP2/SNCA/CTSH/DEFA1/TRAF3IP3/HPSE/RNASE6/CTSC/CST7/RNASE2/MNDA/IFI30/CREG1/SLC38A9/HEXB/GIMAP5/PLAC8/LAPTM5/AP1M2/OCIAD2/HLA-DMB/HLA-DQB2/TLR7/FASLG/SLC39A8/TMEM163/HLA-DOB/ATP11C/LAMP3/CLNK/SDC1/AGA/TLR8/ABCA13/HLA-DPB1/STARD3NL/TMEM45B/CEACAM8/C9orf72/CCZ1B/GNLY/HLA-DPA1/TXNDC5/RAP1B/ATP6V0E1/HLA-DQA1/SLCO4C1",123
