"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140375","immune receptor activity","75/1485","89/4420",0.842696629213483,2.50822835092498,10.2232548319107,2.8482238342465e-23,1.48677284147667e-20,1.48677284147667e-20,"LILRA5/FCGR3A/CSF2RA/IL18R1/C3AR1/CD247/TRAC/IL18RAP/IL2RG/FCGR1A/FPR2/CD3E/IL2RA/CXCR3/CXCR4/KLRD1/LILRA3/FCAR/LILRA4/FCGR2B/IL12RB1/KLRC1/LILRB4/FLT3/CD200R1/KLRF1/CD3G/FCGR3B/LAIR1/HLA-DOA/FCER1G/CXCR2/KLRK1/CR1/KIR3DL2/IFNGR1/IL21R/KLRC3/TRB/FPR1/CCR5/CXCR1/IL2RB/LAIR2/CD3D/IL5RA/CXCR6/NCR3/CCR1/CR2/CCR7/HLA-DQB1/IL22RA2/FCGR2A/CCR6/CCR4/CTSH/FCGR2C/KLRC2/CRLF2/CCR3/IL27RA/NCR1/CCR2/IL12B/HLA-DQB2/IL7R/HLA-DOB/IL23R/CCRL2/FPR3/HLA-DPA1/IFNAR2/IFNLR1/HLA-DQA1",75
"GO:0005126","cytokine receptor binding","71/1485","101/4420",0.702970297029703,2.09234256759009,7.89858175524824,2.806549677973e-14,6.33732935910554e-12,6.33732935910554e-12,"CXCL3/CCL7/CCL8/IL21/STAP1/CCL4/CKLF/IL1A/CCL5/CCL3/IL23A/CSF2/CCL3L1/CASP3/IFNG/CCL23/PF4/IL1RN/CCL24/CXCL1/TNFSF18/XCL2/IL10/IL12RB1/CCL22/PF4V1/IRAK4/ADAM8/LRG1/CCL3L3/CXCL13/IL36RN/CD300LF/CXCL10/CXCL9/IL12A/PPBP/CXCL2/IL7/IL1B/XCL1/OSM/TNF/CD40LG/IL11/TNFSF13B/TNFSF14/IFNE/STAT1/CCL13/CCL17/CCR2/LTB/IL12B/FASLG/JAK3/LTA/CCL2/IL23R/JAK2/S100A14/CCRL2/IL18/CCL25/CCL19/USP15/TNFSF10/CXCL11/CCL18/CXCL6/CCL11",71
"GO:0008009","chemokine activity","31/1485","32/4420",0.96875,2.88341750841751,7.60517930725318,3.64214330983077e-14,6.33732935910554e-12,6.33732935910554e-12,"CXCL3/CCL7/CCL8/CCL4/CKLF/CCL5/CCL3/CCL3L1/CCL23/PF4/CCL24/CXCL1/XCL2/CCL22/PF4V1/CCL3L3/CXCL13/CXCL10/CXCL9/PPBP/CXCL2/XCL1/CCL13/CCL17/CCL2/CCL25/CCL19/CXCL11/CCL18/CXCL6/CCL11",31
"GO:0042379","chemokine receptor binding","34/1485","37/4420",0.918918918918919,2.73509873509874,7.53807570404646,1.47811877481907e-13,1.28673346154654e-11,1.28673346154654e-11,"CXCL3/CCL7/CCL8/CCL4/CKLF/CCL5/CCL3/CCL3L1/CCL23/PF4/CCL24/CXCL1/XCL2/CCL22/PF4V1/CCL3L3/CXCL13/CXCL10/CXCL9/PPBP/CXCL2/XCL1/CCL13/CCL17/CCR2/CCL2/S100A14/CCRL2/CCL25/CCL19/CXCL11/CCL18/CXCL6/CCL11",34
"GO:0038023","signaling receptor activity","217/1485","436/4420",0.497706422018349,1.48138881166404,7.53010005488926,1.47900397878913e-13,1.28673346154654e-11,1.28673346154654e-11,"FCRL2/LILRA5/CD180/CLEC4E/LPAR3/CD27/FCGR3A/FFAR2/CSF2RA/OPN3/CD5/IL18R1/PTPRC/C3AR1/GPR85/CD247/CD226/GPR15/FCN1/CD8B/CD72/HCAR3/EPHA1/TMEM123/TRAC/SLAMF1/IL18RAP/IL2RG/SORL1/LY96/FCGR1A/CD69/IGSF6/GPR84/PTGFR/CD8A/FPR2/CLEC2D/CD3E/CD244/TREML2/IL2RA/PKHD1L1/CXCR3/P2RX1/KLRG1/CXCR4/TLR10/TREM1/CYSLTR1/CD2/KLRD1/LILRA3/ITGA2/GABRR2/FCAR/MSR1/FCRL3/TNFRSF17/ITGA8/PTPRO/SSTR3/CLEC1B/BTN1A1/LILRA4/GPR55/FCGR2B/IL12RB1/TLR6/KLRC1/TAS2R43/LILRB4/TNFRSF13C/FLT3/CD200R1/FOLR3/HAVCR2/GABRP/P2RY13/KLRF1/GPR34/OR5B21/GPR171/OR6A2/CLEC4A/KRT1/CNR2/CD3G/FCGR3B/LAIR1/HLA-DOA/FCER1G/CXCR2/FZD6/CLEC12A/KLRK1/LY75/ITGA4/CR1/ITGAL/LRRC15/CLEC4C/KIR3DL2/FCRL5/IFNGR1/IL21R/KLRC3/GPR52/CD300LF/TRB/RXFP1/GPR141/TRA/FPR1/CCR5/CXCR1/IL2RB/DCC/CD300E/TAS2R46/BTLA/ATP6AP2/DERL1/TLR2/LAIR2/P2RY8/TIGIT/OR2D2/MC4R/CD3D/GPR183/FZD3/EVI2A/IL5RA/CD86/GPR160/TRGC2/CXCR6/P2RY10/NCR3/TNFRSF9/CLEC6A/CCR1/FCAMR/CR2/TMIGD2/CCR7/HLA-DQB1/CD38/IL22RA2/GPR65/GAL/FCGR2A/GPR174/GRM7/SELE/CCR6/KLRB1/TAS2R19/SLAMF8/TSHR/CCR4/GPR18/CTSH/CD79A/FCGR2C/FCRL1/PTAFR/KLRC2/CRLF2/CCR3/GPR19/CLEC17A/IL27RA/NCR1/HTR3A/GZMK/TLR1/FCRLA/CD80/CLEC7A/LPAR6/AIM2/CLEC4D/CCR2/VSTM1/HRH2/F2RL1/CD79B/F2R/CLECL1/IL12B/LBP/FCRL4/HLA-DQB2/OR2AK2/TLR7/IL7R/OR51E1/HLA-DOB/TRAM1/TNFRSF13B/IL23R/TLR8/CCRL2/PLXNC1/CD300A/FPR3/HLA-DPA1/IFNAR2/TNFRSF10C/FAS/IFNLR1/CD28/P2RY12/HLA-DQA1/ICOS",217
"GO:0060089","molecular transducer activity","217/1485","436/4420",0.497706422018349,1.48138881166404,7.53010005488926,1.47900397878913e-13,1.28673346154654e-11,1.28673346154654e-11,"FCRL2/LILRA5/CD180/CLEC4E/LPAR3/CD27/FCGR3A/FFAR2/CSF2RA/OPN3/CD5/IL18R1/PTPRC/C3AR1/GPR85/CD247/CD226/GPR15/FCN1/CD8B/CD72/HCAR3/EPHA1/TMEM123/TRAC/SLAMF1/IL18RAP/IL2RG/SORL1/LY96/FCGR1A/CD69/IGSF6/GPR84/PTGFR/CD8A/FPR2/CLEC2D/CD3E/CD244/TREML2/IL2RA/PKHD1L1/CXCR3/P2RX1/KLRG1/CXCR4/TLR10/TREM1/CYSLTR1/CD2/KLRD1/LILRA3/ITGA2/GABRR2/FCAR/MSR1/FCRL3/TNFRSF17/ITGA8/PTPRO/SSTR3/CLEC1B/BTN1A1/LILRA4/GPR55/FCGR2B/IL12RB1/TLR6/KLRC1/TAS2R43/LILRB4/TNFRSF13C/FLT3/CD200R1/FOLR3/HAVCR2/GABRP/P2RY13/KLRF1/GPR34/OR5B21/GPR171/OR6A2/CLEC4A/KRT1/CNR2/CD3G/FCGR3B/LAIR1/HLA-DOA/FCER1G/CXCR2/FZD6/CLEC12A/KLRK1/LY75/ITGA4/CR1/ITGAL/LRRC15/CLEC4C/KIR3DL2/FCRL5/IFNGR1/IL21R/KLRC3/GPR52/CD300LF/TRB/RXFP1/GPR141/TRA/FPR1/CCR5/CXCR1/IL2RB/DCC/CD300E/TAS2R46/BTLA/ATP6AP2/DERL1/TLR2/LAIR2/P2RY8/TIGIT/OR2D2/MC4R/CD3D/GPR183/FZD3/EVI2A/IL5RA/CD86/GPR160/TRGC2/CXCR6/P2RY10/NCR3/TNFRSF9/CLEC6A/CCR1/FCAMR/CR2/TMIGD2/CCR7/HLA-DQB1/CD38/IL22RA2/GPR65/GAL/FCGR2A/GPR174/GRM7/SELE/CCR6/KLRB1/TAS2R19/SLAMF8/TSHR/CCR4/GPR18/CTSH/CD79A/FCGR2C/FCRL1/PTAFR/KLRC2/CRLF2/CCR3/GPR19/CLEC17A/IL27RA/NCR1/HTR3A/GZMK/TLR1/FCRLA/CD80/CLEC7A/LPAR6/AIM2/CLEC4D/CCR2/VSTM1/HRH2/F2RL1/CD79B/F2R/CLECL1/IL12B/LBP/FCRL4/HLA-DQB2/OR2AK2/TLR7/IL7R/OR51E1/HLA-DOB/TRAM1/TNFRSF13B/IL23R/TLR8/CCRL2/PLXNC1/CD300A/FPR3/HLA-DPA1/IFNAR2/TNFRSF10C/FAS/IFNLR1/CD28/P2RY12/HLA-DQA1/ICOS",217
"GO:0004888","transmembrane signaling receptor activity","168/1485","334/4420",0.502994011976048,1.4971269582048,6.7206695463772,4.24152174212118e-11,3.16296335626751e-09,3.16296335626751e-09,"FCRL2/LILRA5/LPAR3/CD27/FCGR3A/FFAR2/CSF2RA/OPN3/IL18R1/PTPRC/C3AR1/GPR85/CD247/GPR15/CD72/HCAR3/EPHA1/TRAC/SLAMF1/IL18RAP/IL2RG/SORL1/FCGR1A/CD69/IGSF6/GPR84/PTGFR/FPR2/CLEC2D/CD3E/IL2RA/CXCR3/P2RX1/CXCR4/TLR10/TREM1/CYSLTR1/KLRD1/LILRA3/ITGA2/GABRR2/FCAR/FCRL3/PTPRO/SSTR3/CLEC1B/LILRA4/GPR55/FCGR2B/IL12RB1/TLR6/KLRC1/TAS2R43/LILRB4/FLT3/CD200R1/HAVCR2/GABRP/P2RY13/KLRF1/GPR34/OR5B21/GPR171/OR6A2/CLEC4A/CNR2/CD3G/FCGR3B/LAIR1/HLA-DOA/FCER1G/CXCR2/FZD6/CLEC12A/KLRK1/LY75/CR1/ITGAL/KIR3DL2/FCRL5/IFNGR1/IL21R/KLRC3/GPR52/CD300LF/TRB/RXFP1/GPR141/FPR1/CCR5/CXCR1/IL2RB/DCC/CD300E/TAS2R46/TLR2/LAIR2/P2RY8/OR2D2/MC4R/CD3D/GPR183/FZD3/EVI2A/IL5RA/GPR160/TRGC2/CXCR6/P2RY10/CCR1/FCAMR/CR2/CCR7/HLA-DQB1/IL22RA2/GPR65/GAL/FCGR2A/GPR174/GRM7/SELE/CCR6/KLRB1/TAS2R19/TSHR/CCR4/GPR18/CTSH/CD79A/FCGR2C/FCRL1/PTAFR/KLRC2/CRLF2/CCR3/GPR19/IL27RA/NCR1/HTR3A/TLR1/FCRLA/LPAR6/CCR2/VSTM1/HRH2/F2RL1/CD79B/F2R/IL12B/FCRL4/HLA-DQB2/OR2AK2/IL7R/OR51E1/HLA-DOB/IL23R/CCRL2/PLXNC1/CD300A/FPR3/HLA-DPA1/IFNAR2/TNFRSF10C/FAS/IFNLR1/CD28/P2RY12/HLA-DQA1",168
"GO:0005125","cytokine activity","65/1485","101/4420",0.643564356435644,1.91552488582192,6.62003695011391,1.65041125360604e-10,1.07689334297794e-08,1.07689334297794e-08,"CXCL3/CCL7/CCL8/IL21/CCL4/CKLF/IL1A/CCL5/CCL3/IL23A/CSF2/CCL3L1/SPP1/IL26/IFNG/CCL23/PF4/IL1RN/SCG2/CCL24/CXCL1/TNFSF18/XCL2/CMTM2/IL10/CCL22/PF4V1/CCL3L3/CXCL13/IL36RN/NAMPT/CXCL10/CXCL9/IL12A/PPBP/CXCL2/IL7/IL1B/XCL1/OSM/TNF/CD40LG/IL11/TNFSF13B/TNFSF14/GDF3/IFNE/WNT16/CCL13/CCL17/VSTM1/LTB/IL12B/WNT10A/FASLG/LTA/CCL2/IL18/CCL25/CCL19/TNFSF10/CXCL11/CCL18/CXCL6/CCL11",65
"GO:0023023","MHC protein complex binding","18/1485","18/4420",1,2.97643097643098,5.97604776726983,2.77719366187681e-09,1.61077232388855e-07,1.61077232388855e-07,"MS4A1/HLA-DMA/CD8A/KLRD1/HLA-DRA/KLRC1/HLA-DOA/B2M/HLA-DRB4/HLA-DQB1/HLA-DRB1/KLRC2/HLA-DMB/HLA-DQB2/HLA-DOB/HLA-DPB1/HLA-DPA1/HLA-DQA1",18
"GO:0003823","antigen binding","29/1485","36/4420",0.805555555555556,2.39768050879162,5.98887241705886,8.54031158135509e-09,4.45804264546736e-07,4.45804264546736e-07,"IGHG1/FCN1/SLAMF1/HLA-DMA/IGLL5/KLRD1/HLA-DRA/TRAV12-1/HLA-DOA/ITGA4/CD1B/IGHD/LCK/B2M/SLC7A5/HLA-DRB4/IGHE/HLA-DQB1/HLA-DRB1/CD1A/KLRC2/TAP1/HLA-DMB/HLA-DQB2/IL7R/HLA-DOB/HLA-DPB1/HLA-DPA1/HLA-DQA1",29
